00-00-00,Unknown
01-??-??,National Westminster Bank
04-00-04,Monzo Bank
04-00-40,Starling Bank
04-04-05,ClearBank
05-??-??,Clydesdale Bank,trading as Yorkshire Bank
07-00-??,Nationwide Building Society
07-49-??,Nationwide Building Society
08-??-??,Co-operative Bank
08-32-00,HMRC VAT
08-32-10,National Insurance
08-93-00,Cooperative Bank
08-60-?? to 08-61-??,clearing accounts for building societies
08-90-?? to 08-99-??,Cooperative Bank
08-30-?? to 08-39-??,Citibank NA
08-31-?? to 08-32-??,Citibank NA
09-00-?? to 09-19-??,Santander UK
10-00-?? to 10-79-??,Bank of England
11-??-??,Bank of Scotland
12-00 to 12-69,12-60-00 to 12-69-99 for Sainsbury's Bank
13-??-??,Barclays Bank
14-??-??,Barclays Bank
15-??-??,The Royal Bank of Scotland
15-80-??,Child & Co private bank part of The Royal Bank of Scotland Group
15-98 to 15-99,C. Hoare & Co. Independent private bank
16-??-??,The Royal Bank of Scotland
16-00-38,Drummonds Bank
16-52-21,Cumberland Building Society
16-57-10,Cater Allen Private Bank part of Santander Group
17-??-??,Williams & Glyn's Bank
18-??-??,Coutts & Co subsidiary of National Westminster Bank
20 to 29,Barclays Bank,
23-05-80,Metro Bank
23-14-70,TransferWise
23-22-21,Fire Financial Services
23-32-72,Pockit
23-69-72,Prepay Technologies
30 to 39,Lloyds Bank and TSB 
30-00-66,Arbuthnot Latham, private bank
40 to 49,HSBC Bank
49-99-79 to 49-99-99,Deutsche Bank
40-12-50 to 40-12-55,M&S Bank
40-51-98,Turkish Bank UK
40-60-80,CashFlows
40-63-01,Coventry Building Society
40-63-77,Bank of Cyprus UK
40-64-25,Virgin Money PLC
40-65-00,Norwich & Peterborough Building Society
50-??-?? to 59-??-??,National Westminster Bank,formerly National Provincial Bank (1968)
60-??-?? to 66-??-??,formerly Westminster Bank (1968)
60-83-12,Atom Bank
60-83-66,Fidor Bank UK
60-83-71,Starling Bank
70-??-??,International banks
71-??-??,Bank of England,National Savings Bank
72-??-??,Santander UK,formerly Alliance & Leicester
77-00-?? to 77-44-??,Lloyds Bank and TSB
77-46-?? to 77-99-??,Lloyds Bank and TSB
80-??-?? to 81-??-??,Bank of Scotland	
82-??-??,Clydesdale Bank	
83-??-??,Royal Bank of Scotland
84-??-??,National Commercial Bank of Scotland
86-??-??,Royal Bank of Scotland
87-??-??,TSB
89-00-?? to 89-29-??,Santander UK formerly Alliance & Leicester Commercial Bank
90-??-??,Bank of Ireland	
91-??-??,Danske Bank
92-??-??,Irish Government Central Bank of Ireland  
93-??-??,Allied Irish Banks
94-??-??,Bank of Ireland	
95-??-??,Danske Bank
98-??-??,Ulster Bank
99-99-99,Irish Permanent TSB
